date,commodity,index_value
1990-01-01,food_price_index,64.4
1990-02-01,food_price_index,64.7
1990-03-01,food_price_index,64.0
1990-04-01,food_price_index,66.0
1990-05-01,food_price_index,64.6
1990-06-01,food_price_index,64.1
1990-07-01,food_price_index,62.9
1990-08-01,food_price_index,61.8
1990-09-01,food_price_index,61.3
1990-10-01,food_price_index,61.4
1990-11-01,food_price_index,62.3
1990-12-01,food_price_index,62.2
1991-01-01,food_price_index,61.0
1991-02-01,food_price_index,61.8
1991-03-01,food_price_index,62.3
1991-04-01,food_price_index,61.0
1991-05-01,food_price_index,60.8
1991-06-01,food_price_index,61.3
1991-07-01,food_price_index,62.2
1991-08-01,food_price_index,61.8
1991-09-01,food_price_index,62.4
1991-10-01,food_price_index,64.5
1991-11-01,food_price_index,64.6
1991-12-01,food_price_index,64.3
1992-01-01,food_price_index,65.1
1992-02-01,food_price_index,65.9
1992-03-01,food_price_index,66.5
1992-04-01,food_price_index,64.8
1992-05-01,food_price_index,65.1
1992-06-01,food_price_index,65.9
1992-07-01,food_price_index,64.7
1992-08-01,food_price_index,63.1
1992-09-01,food_price_index,63.8
1992-10-01,food_price_index,61.8
1992-11-01,food_price_index,62.7
1992-12-01,food_price_index,61.3
1993-01-01,food_price_index,61.6
1993-02-01,food_price_index,61.4
1993-03-01,food_price_index,63.2
1993-04-01,food_price_index,62.8
1993-05-01,food_price_index,62.4
1993-06-01,food_price_index,61.8
1993-07-01,food_price_index,62.2
1993-08-01,food_price_index,60.9
1993-09-01,food_price_index,61.2
1993-10-01,food_price_index,61.5
1993-11-01,food_price_index,63.4
1993-12-01,food_price_index,64.7
1994-01-01,food_price_index,64.8
1994-02-01,food_price_index,64.5
1994-03-01,food_price_index,64.8
1994-04-01,food_price_index,64.1
1994-05-01,food_price_index,65.9
1994-06-01,food_price_index,65.5
1994-07-01,food_price_index,64.2
1994-08-01,food_price_index,66.6
1994-09-01,food_price_index,69.6
1994-10-01,food_price_index,70.3
1994-11-01,food_price_index,73.6
1994-12-01,food_price_index,73.3
1995-01-01,food_price_index,73.0
1995-02-01,food_price_index,74.7
1995-03-01,food_price_index,75.5
1995-04-01,food_price_index,74.3
1995-05-01,food_price_index,74.1
1995-06-01,food_price_index,75.3
1995-07-01,food_price_index,79.6
1995-08-01,food_price_index,78.1
1995-09-01,food_price_index,78.5
1995-10-01,food_price_index,80.5
1995-11-01,food_price_index,80.0
1995-12-01,food_price_index,78.2
1996-01-01,food_price_index,77.1
1996-02-01,food_price_index,77.6
1996-03-01,food_price_index,78.7
1996-04-01,food_price_index,80.9
1996-05-01,food_price_index,82.5
1996-06-01,food_price_index,80.7
1996-07-01,food_price_index,80.5
1996-08-01,food_price_index,80.1
1996-09-01,food_price_index,77.1
1996-10-01,food_price_index,74.4
1996-11-01,food_price_index,72.7
1996-12-01,food_price_index,71.5
1997-01-01,food_price_index,71.0
1997-02-01,food_price_index,71.2
1997-03-01,food_price_index,73.0
1997-04-01,food_price_index,73.5
1997-05-01,food_price_index,72.9
1997-06-01,food_price_index,70.3
1997-07-01,food_price_index,68.6
1997-08-01,food_price_index,70.0
1997-09-01,food_price_index,70.1
1997-10-01,food_price_index,69.9
1997-11-01,food_price_index,70.5
1997-12-01,food_price_index,68.1
1998-01-01,food_price_index,67.5
1998-02-01,food_price_index,67.7
1998-03-01,food_price_index,67.6
1998-04-01,food_price_index,67.0
1998-05-01,food_price_index,66.6
1998-06-01,food_price_index,64.4
1998-07-01,food_price_index,64.4
1998-08-01,food_price_index,62.6
1998-09-01,food_price_index,62.1
1998-10-01,food_price_index,62.9
1998-11-01,food_price_index,62.8
1998-12-01,food_price_index,62.2
1999-01-01,food_price_index,61.2
1999-02-01,food_price_index,58.6
1999-03-01,food_price_index,57.2
1999-04-01,food_price_index,56.0
1999-05-01,food_price_index,55.6
1999-06-01,food_price_index,54.8
1999-07-01,food_price_index,52.8
1999-08-01,food_price_index,54.6
1999-09-01,food_price_index,54.8
1999-10-01,food_price_index,53.5
1999-11-01,food_price_index,53.5
1999-12-01,food_price_index,52.1
2000-01-01,food_price_index,52.8
2000-02-01,food_price_index,52.5
2000-03-01,food_price_index,53.1
2000-04-01,food_price_index,53.7
2000-05-01,food_price_index,54.0
2000-06-01,food_price_index,54.2
2000-07-01,food_price_index,54.4
2000-08-01,food_price_index,53.5
2000-09-01,food_price_index,52.9
2000-10-01,food_price_index,53.7
2000-11-01,food_price_index,54.2
2000-12-01,food_price_index,54.8
2001-01-01,food_price_index,54.1
2001-02-01,food_price_index,54.6
2001-03-01,food_price_index,55.5
2001-04-01,food_price_index,55.0
2001-05-01,food_price_index,55.8
2001-06-01,food_price_index,55.2
2001-07-01,food_price_index,56.9
2001-08-01,food_price_index,57.0
2001-09-01,food_price_index,55.8
2001-10-01,food_price_index,54.5
2001-11-01,food_price_index,55.1
2001-12-01,food_price_index,54.6
2002-01-01,food_price_index,53.8
2002-02-01,food_price_index,52.0
2002-03-01,food_price_index,52.3
2002-04-01,food_price_index,51.4
2002-05-01,food_price_index,50.8
2002-06-01,food_price_index,51.6
2002-07-01,food_price_index,52.3
2002-08-01,food_price_index,53.7
2002-09-01,food_price_index,55.1
2002-10-01,food_price_index,55.5
2002-11-01,food_price_index,56.6
2002-12-01,food_price_index,56.0
2003-01-01,food_price_index,56.2
2003-02-01,food_price_index,56.9
2003-03-01,food_price_index,55.9
2003-04-01,food_price_index,55.9
2003-05-01,food_price_index,56.7
2003-06-01,food_price_index,56.4
2003-07-01,food_price_index,57.1
2003-08-01,food_price_index,57.8
2003-09-01,food_price_index,59.0
2003-10-01,food_price_index,60.6
2003-11-01,food_price_index,62.0
2003-12-01,food_price_index,62.9
2004-01-01,food_price_index,64.7
2004-02-01,food_price_index,65.5
2004-03-01,food_price_index,67.1
2004-04-01,food_price_index,67.7
2004-05-01,food_price_index,66.8
2004-06-01,food_price_index,66.4
2004-07-01,food_price_index,65.8
2004-08-01,food_price_index,64.8
2004-09-01,food_price_index,65.4
2004-10-01,food_price_index,64.9
2004-11-01,food_price_index,65.7
2004-12-01,food_price_index,66.0
2005-01-01,food_price_index,65.8
2005-02-01,food_price_index,66.2
2005-03-01,food_price_index,67.5
2005-04-01,food_price_index,66.0
2005-05-01,food_price_index,66.5
2005-06-01,food_price_index,67.4
2005-07-01,food_price_index,67.7
2005-08-01,food_price_index,67.6
2005-09-01,food_price_index,68.6
2005-10-01,food_price_index,69.5
2005-11-01,food_price_index,69.0
2005-12-01,food_price_index,69.8
2006-01-01,food_price_index,69.8
2006-02-01,food_price_index,70.8
2006-03-01,food_price_index,69.8
2006-04-01,food_price_index,70.1
2006-05-01,food_price_index,71.3
2006-06-01,food_price_index,71.4
2006-07-01,food_price_index,73.2
2006-08-01,food_price_index,73.1
2006-09-01,food_price_index,73.2
2006-10-01,food_price_index,75.1
2006-11-01,food_price_index,77.7
2006-12-01,food_price_index,78.8
2007-01-01,food_price_index,78.5
2007-02-01,food_price_index,80.0
2007-03-01,food_price_index,81.1
2007-04-01,food_price_index,83.9
2007-05-01,food_price_index,86.5
2007-06-01,food_price_index,91.4
2007-07-01,food_price_index,95.5
2007-08-01,food_price_index,99.1
2007-09-01,food_price_index,105.3
2007-10-01,food_price_index,107.9
2007-11-01,food_price_index,110.8
2007-12-01,food_price_index,114.7
2008-01-01,food_price_index,120.4
2008-02-01,food_price_index,128.4
2008-03-01,food_price_index,132.4
2008-04-01,food_price_index,130.7
2008-05-01,food_price_index,130.3
2008-06-01,food_price_index,132.7
2008-07-01,food_price_index,130.2
2008-08-01,food_price_index,121.2
2008-09-01,food_price_index,112.8
2008-10-01,food_price_index,97.8
2008-11-01,food_price_index,89.7
2008-12-01,food_price_index,86.3
2009-01-01,food_price_index,86.7
2009-02-01,food_price_index,84.5
2009-03-01,food_price_index,84.3
2009-04-01,food_price_index,87.4
2009-05-01,food_price_index,93.5
2009-06-01,food_price_index,93.4
2009-07-01,food_price_index,90.7
2009-08-01,food_price_index,93.5
2009-09-01,food_price_index,93.1
2009-10-01,food_price_index,94.8
2009-11-01,food_price_index,98.9
2009-12-01,food_price_index,100.8
2010-01-01,food_price_index,101.8
2010-02-01,food_price_index,99.3
2010-03-01,food_price_index,96.5
2010-04-01,food_price_index,97.1
2010-05-01,food_price_index,96.4
2010-06-01,food_price_index,95.9
2010-07-01,food_price_index,100.0
2010-08-01,food_price_index,107.8
